Votes;Rank;Title;Year;Theme;FromUSorUK
1646756;9.2;The Shawshank Redemption;1994;Crime;1
1127325;9.2;The Godfather;1972;Drama;1
769337;9.0;The Godfather: Part II;1974;Crime;1
1631629;8.9;The Dark Knight;2008;Other;1
1290543;8.9;Pulp Fiction;1994;Crime;1
1185049;8.9;The Lord of the Rings: The Return of the King;2003;Adventure;1
842085;8.9;Schindler's List;1993;Biography;1
491012;8.9;Il buono, il brutto, il cattivo;1966;Western;0
433437;8.9;12 Angry Men;1957;Crime;1
1310098;8.8;Fight Club;1999;Drama;1
1208535;8.8;The Lord of the Rings: The Fellowship of the Ring;2001;Adventure;0
1426124;8.7;Inception;2010;Action;1
1213065;8.7;Forrest Gump;1994;Drama;1
1186223;8.7;The Matrix;1999;Action;1
1071628;8.7;The Lord of the Rings: The Two Towers;2002;Action;1
813303;8.7;Star Wars: Episode V - The Empire Strikes Back;1980;Action;1
709686;8.7;Goodfellas;1990;Biography;1
663690;8.7;One Flew Over the Cuckoo's Nest;1975;Drama;1
223766;8.7;Shichinin no samurai;1954;Drama;0
995482;8.6;Se7en;1995;Crime;1
886999;8.6;Star Wars;1977;Action;1
861318;8.6;The Silence of the Lambs;1991;Crime;1
722138;8.6;The Usual Suspects;1995;Crime;1
705835;8.6;L‚on;1994;NA;0
520792;8.6;Cidade de Deus;2002;Crime;0
406853;8.6;La vita ? bella;1997;NA;0
268986;8.6;It's a Wonderful Life;1946;Drama;1
957068;8.5;Gladiator;2000;Action;1
885611;8.5;Interstellar;2014;Drama;0
856903;8.5;Saving Private Ryan;1998;Action;1
850133;8.5;The Departed;2006;Crime;1
824979;8.5;Memento;2000;Documentary;0
818989;8.5;The Prestige;2006;Drama;1
763981;8.5;American History X;1998;Crime;1
758806;8.5;The Green Mile;1999;Crime;1
726147;8.5;Terminator 2: Judgment Day;1991;Action;1
710111;8.5;Back to the Future;1985;Adventure;1
644880;8.5;Raiders of the Lost Ark;1981;Action;1
484974;8.5;Intouchables;2011;Biography;0
483667;8.5;The Pianist;2002;Other;0
440551;8.5;Apocalypse Now;1979;Drama;1
410571;8.5;Psycho;1960;Documentary;1
403874;8.5;Sen to Chihiro no kamikakushi;2001;Adventure;0
379045;8.5;Casablanca;1942;Drama;1
374146;8.5;Whiplash;2014;Western;0
307892;8.5;Rear Window;1954;Documentary;1
210745;8.5;C'era una volta il West;1968;Western;0
138140;8.5;Modern Times;1936;Documentary;1
104616;8.5;City Lights;1931;Comedy;0
1113184;8.4;The Dark Knight Rises;2012;Action;1
924029;8.4;Django Unchained;2012;Drama;1
802960;8.4;American Beauty;1999;Documentary;1
695656;8.4;WALL-E;2008;NA;1
623331;8.4;The Lion King;1994;Adventure;1
592668;8.4;The Shining;1980;Drama;1
548953;8.4;Alien;1979;Other;1
477083;8.4;Aliens;1986;Action;1
345749;8.4;Oldeuboi;2003;Drama;0
334745;8.4;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;Comedy;1
291375;8.4;Citizen Kane;1941;Drama;1
252911;8.4;Das Leben der Anderen;2006;Drama;0
241575;8.4;Vertigo;1958;Drama;0
215490;8.4;North by Northwest;1959;Adventure;1
215301;8.4;Once Upon a Time in America;1984;Crime;0
214758;8.4;Mononoke-hime;1997;Adventure;0
164501;8.4;Das Boot;1981;Drama;0
147697;8.4;Nuovo Cinema Paradiso;1988;Drama;0
135943;8.4;Sunset Blvd.;1950;Drama;1
133124;8.4;The Great Dictator;1940;Comedy;1
133000;8.4;Hotaru no haka;1988;Other;0
117485;8.4;Paths of Glory;1957;Documentary;1
858223;8.3;Inglourious Basterds;2009;Adventure;1
718860;8.3;Braveheart;1995;Western;1
660580;8.3;Star Wars: Episode VI - Return of the Jedi;1983;Action;1
648849;8.3;Eternal Sunshine of the Spotless Mind;2004;Drama;1
646591;8.3;Reservoir Dogs;1992;Crime;1
603486;8.3;Toy Story;1995;Other;0
587598;8.3;Snatch.;2000;Comedy;1
559177;8.3;Requiem for a Dream;2000;Drama;1
543031;8.3;A Clockwork Orange;1971;Crime;1
527572;8.3;Toy Story 3;2010;Adventure;1
523999;8.3;Scarface;1983;Drama;1
521120;8.3;Le fabuleux destin d'Amélie Poulain;2001;NA;0
502128;8.3;Indiana Jones and the Last Crusade;1989;Action;1
492668;8.3;Taxi Driver;1976;Drama;0
471698;8.3;Full Metal Jacket;1987;Drama;1
415278;8.3;2001: A Space Odyssey;1968;Other;1
405629;8.3;L.A. Confidential;1997;Crime;1
373606;8.3;Monty Python and the Holy Grail;1975;Adventure;1
263939;8.3;Amadeus;1984;Biography;1
209001;8.3;To Kill a Mockingbird;1962;Crime;1
187828;8.3;Lawrence of Arabia;1962;Adventure;0
171137;8.3;The Sting;1973;Comedy;1
152384;8.3;Per qualche dollaro in più;1965;NA;NA
147557;8.3;Jodaeiye Nader az Simin;2011;Drama;0
146190;8.3;Singin' in the Rain;1952;Comedy;1
108960;8.3;Metropolis;1927;Drama;0
106344;8.3;The Apartment;1960;Other;0
99812;8.3;Rash?mon;1950;NA;NA
96690;8.3;M;1931;Other;0
95003;8.3;Double Indemnity;1944;Crime;1
91606;8.3;Ladri di biciclette;1948;Drama;0
80923;8.3;All About Eve;1950;Drama;0
64594;8.3;The Kid;1921;Comedy;1
60753;8.3;Witness for the Prosecution;1957;NA;1
953309;8.2;Batman Begins;2005;Action;1
748300;8.2;The Wolf of Wall Street;2013;Drama;1
642803;8.2;Up;2009;Other;1
587456;8.2;Good Will Hunting;1997;Drama;1
579035;8.2;Die Hard;1988;Action;1
512696;8.2;Star Wars: Episode VII - The Force Awakens;2015;Action;1
456324;8.2;El laberinto del fauno;2006;Drama;0
451537;8.2;Blade Runner;1982;Other;1
422058;8.2;Heat;1995;Drama;0
406251;8.2;Lock, Stock and Two Smoking Barrels;1998;Comedy;1
339083;8.2;Deadpool;2016;Action;1
324905;8.2;Casino;1995;Other;0
323370;8.2;Warrior;2011;NA;1
309153;8.2;Inside Out;2015;Drama;1
